Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_25MBQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MBQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MBQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_25MBQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
109,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
110,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
115,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Forest
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
138,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
139,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
141,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
142,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
143,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
144,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
145,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
146,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
147,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
148,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
149,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Grassland
150,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Bareland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,NULL
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Forest
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,NULL
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
302,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
303,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
305,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
306,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Grassland
307,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Built-up,Grassland
308,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,NULL
310,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Grassland
311,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Wetland
312,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Bareland
313,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,NULL
314,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
315,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Grassland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,NULL
317,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
318,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Bareland
319,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Grassland
320,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Built-up,Bareland
321,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
322,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
