Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
7,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL
8,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
9,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
20,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL
21,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
22,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
23,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
28,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
29,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
31,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
32,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
33,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
37,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL
39,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
40,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
41,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
42,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
44,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
45,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
46,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
50,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Forest
51,NULL,NULL,Water,NULL,Water,NULL,NULL
52,NULL,NULL,Water,NULL,Water,NULL,Grassland
53,NULL,NULL,Water,NULL,Water,NULL,Wetland
54,NULL,NULL,Water,NULL,Water,NULL,Bareland
55,NULL,NULL,Water,NULL,Water,NULL,Forest
56,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
57,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
58,NULL,NULL,Water,Non_Water,Water,NULL,Forest
59,NULL,NULL,Water,Water,Water,NULL,NULL
60,NULL,NULL,Water,Water,Water,NULL,Grassland
61,NULL,NULL,Water,Water,Water,NULL,Wetland
62,NULL,NULL,Water,Water,Water,NULL,Water
63,NULL,NULL,Water,Water,Water,NULL,Forest
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
71,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
72,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
73,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland
74,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
75,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
76,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
77,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
78,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
79,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
80,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
81,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL
82,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
83,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Water
84,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
85,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
86,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
87,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
88,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
89,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
90,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
91,NULL,Wetland,Wetland,Water,Wetland,NULL,Grassland
92,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Forest
93,NULL,Wetland,Water,Water,Water,NULL,Wetland
94,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
95,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
96,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
97,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
98,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland
99,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
100,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest
101,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
102,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
103,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Grassland
104,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland
105,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
106,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
