Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KKC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KKC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KKC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
55,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
80,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
88,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
89,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
90,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
91,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
92,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
93,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
94,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
95,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
96,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
97,NULL,NULL,Water,Water,Water,NULL,NULL,Water
98,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
107,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
108,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
118,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
120,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
121,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
122,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
123,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
127,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
129,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
130,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
132,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
134,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
136,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
137,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
138,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
139,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
141,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
142,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
145,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
146,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
147,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
149,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
150,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
153,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
155,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
157,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
166,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
170,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
173,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
182,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
187,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
188,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
190,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
192,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
193,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
194,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
195,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
197,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
198,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
199,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
201,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
203,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
204,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
206,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
207,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
208,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
209,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,NULL
211,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
212,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
213,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
215,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
217,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
218,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
220,NULL,Built-up,Water,NULL,Water,NULL,NULL,NULL
221,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
222,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
223,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
225,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
226,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
227,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
229,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
232,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
234,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
235,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
236,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
240,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
244,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
245,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
246,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
247,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
248,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
249,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
250,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
251,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
253,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
254,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
255,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
256,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
257,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
258,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
260,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
261,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
262,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
263,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
264,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
265,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
266,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
267,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
268,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
269,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
270,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
271,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
272,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
273,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
274,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
275,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
278,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
279,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
281,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
282,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
284,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
285,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
286,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
287,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
289,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
290,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
291,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
292,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
293,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
294,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
295,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
296,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
297,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
298,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
299,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
300,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
301,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
302,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
303,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
304,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
306,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
307,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
308,Grassland,Built-up,Water,NULL,Water,NULL,NULL,Grassland
309,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
310,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
311,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
312,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
313,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
314,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
315,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
316,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
317,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
318,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
319,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
320,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
321,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
322,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
324,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
325,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
326,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
327,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
328,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
329,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
330,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
331,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
