Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
