Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
76,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
109,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
110,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
111,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
112,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
113,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
115,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
118,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
119,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
120,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
121,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
122,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
123,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
124,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Forest
125,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
126,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
127,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
128,NULL,NULL,NULL,Water,Non_Wetland,Water,Forest,Grassland
129,NULL,NULL,NULL,Water,Non_Wetland,Water,Forest,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Water
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Bareland,Grassland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Forest
245,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
248,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
252,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
254,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
255,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
256,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
258,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
259,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
260,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
261,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
262,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Forest
263,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
264,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
265,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
266,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
267,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
268,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
269,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Water,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Water
287,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
288,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
292,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
315,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Wetland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
320,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
321,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
322,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
324,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
325,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
326,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
327,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
