Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Water
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Cropland
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,NULL
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
302,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
303,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
305,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
307,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
308,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
310,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
311,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
312,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
313,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
314,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
315,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
316,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
317,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
318,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
319,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
320,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
322,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
324,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
325,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
326,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
328,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
329,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
330,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
