Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
17,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
18,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
19,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
20,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Built-up,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
47,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
