Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
185,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
186,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
187,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
188,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
189,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
190,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
191,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
192,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
193,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
194,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
195,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
196,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
197,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
198,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
199,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Built-up
