Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NVJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Bareland
11,NULL,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Water
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
44,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
46,NULL,NULL,Grassland,Water,Non_Wetland,Water
47,NULL,NULL,Grassland,Water,Non_Wetland,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,Water
54,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
58,NULL,NULL,Cropland,Water,Non_Wetland,Water
59,NULL,NULL,Cropland,Water,Non_Wetland,Forest
60,NULL,NULL,Wetland,NULL,Wetland,Grassland
61,NULL,NULL,Wetland,NULL,Wetland,Bareland
62,NULL,NULL,Wetland,NULL,Wetland,Water
63,NULL,NULL,Wetland,NULL,Wetland,Forest
64,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
66,NULL,NULL,Wetland,Non_Water,Wetland,Water
67,NULL,NULL,Wetland,Non_Water,Wetland,Forest
68,NULL,NULL,Wetland,Water,Wetland,Grassland
69,NULL,NULL,Wetland,Water,Wetland,Bareland
70,NULL,NULL,Wetland,Water,Wetland,Water
71,NULL,NULL,Wetland,Water,Wetland,Forest
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
73,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
77,NULL,NULL,Bareland,NULL,Non_Wetland,Water
78,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
84,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
85,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
86,NULL,NULL,Bareland,Water,Non_Wetland,Water
87,NULL,NULL,Bareland,Water,Non_Wetland,Forest
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
89,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
92,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
94,NULL,NULL,Water,NULL,Water,Grassland
95,NULL,NULL,Water,NULL,Water,Bareland
96,NULL,NULL,Water,NULL,Water,Water
97,NULL,NULL,Water,NULL,Water,Forest
98,NULL,NULL,Water,Non_Water,Water,Grassland
99,NULL,NULL,Water,Non_Water,Water,Cropland
100,NULL,NULL,Water,Non_Water,Water,Bareland
101,NULL,NULL,Water,Non_Water,Water,Water
102,NULL,NULL,Water,Non_Water,Water,Forest
103,NULL,NULL,Water,Water,Water,Grassland
104,NULL,NULL,Water,Water,Water,Bareland
105,NULL,NULL,Water,Water,Water,Water
106,NULL,NULL,Water,Water,Water,Forest
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL
108,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
110,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
111,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
112,NULL,NULL,Forest,NULL,Non_Wetland,Water
113,NULL,NULL,Forest,NULL,Non_Wetland,Forest
114,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
117,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
118,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
119,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
120,NULL,NULL,Forest,Water,Non_Wetland,Grassland
121,NULL,NULL,Forest,Water,Non_Wetland,Cropland
122,NULL,NULL,Forest,Water,Non_Wetland,Bareland
123,NULL,NULL,Forest,Water,Non_Wetland,Water
