Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LBL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Forest
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
49,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
50,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
51,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Water
52,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
53,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Bareland
54,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
