Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Built-up
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Forest
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
246,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
247,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
248,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
249,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
250,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
251,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
252,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
253,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
254,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
255,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Cropland
256,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Water
257,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
259,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
260,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
262,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
263,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
264,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
266,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
267,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
268,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Water
270,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
271,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
272,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
273,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
279,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
