Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
21,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
24,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
26,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
27,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
28,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
32,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
