Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MWA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Built-up
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Cropland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Built-up
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Water
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,NULL
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Cropland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Built-up
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Cropland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Built-up
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Cropland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Water
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
