Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LNC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LNC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LNC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LNC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LNC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LNC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LNC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LNC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
236,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
237,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Cropland
238,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
239,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
240,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
261,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Water
262,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Water
286,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Water
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
330,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
