Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LRN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
