Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Forest
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
10,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,Water,Non_Wetland,Water
12,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
16,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
17,NULL,NULL,Grassland,Water,Non_Wetland,Water
18,NULL,NULL,Grassland,Water,Non_Wetland,Forest
19,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Cropland,NULL,Non_Wetland,Water
22,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
23,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
24,NULL,NULL,Cropland,Water,Non_Wetland,Water
25,NULL,NULL,Cropland,Water,Non_Wetland,Forest
26,NULL,NULL,Wetland,NULL,Wetland,Forest
27,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
28,NULL,NULL,Wetland,Non_Water,Wetland,Water
29,NULL,NULL,Wetland,Water,Wetland,Water
30,NULL,NULL,Wetland,Water,Wetland,Forest
31,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Water
34,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
35,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
36,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
37,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
38,NULL,NULL,Bareland,Water,Non_Wetland,Water
39,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
42,NULL,NULL,Water,NULL,Water,Grassland
43,NULL,NULL,Water,NULL,Water,Bareland
44,NULL,NULL,Water,NULL,Water,Water
45,NULL,NULL,Water,NULL,Water,Forest
46,NULL,NULL,Water,Non_Water,Water,Grassland
47,NULL,NULL,Water,Non_Water,Water,Bareland
48,NULL,NULL,Water,Non_Water,Water,Water
49,NULL,NULL,Water,Water,Water,Grassland
50,NULL,NULL,Water,Water,Water,Water
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL
52,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
53,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
54,NULL,NULL,Forest,NULL,Non_Wetland,Water
55,NULL,NULL,Forest,NULL,Non_Wetland,Forest
56,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
57,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
58,NULL,NULL,Forest,Water,Non_Wetland,Grassland
59,NULL,NULL,Forest,Water,Non_Wetland,Water
60,NULL,NULL,Forest,Water,Non_Wetland,Forest
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
65,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
66,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
68,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
69,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
70,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
71,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
72,NULL,Wetland,Cropland,NULL,Non_Wetland,Water
73,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
74,NULL,Wetland,Cropland,Water,Non_Wetland,Water
75,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
76,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
77,NULL,Wetland,Wetland,Water,Wetland,Grassland
78,NULL,Wetland,Wetland,Water,Wetland,Water
79,NULL,Wetland,Wetland,Water,Wetland,Forest
80,NULL,Wetland,Water,Non_Water,Water,Bareland
81,NULL,Wetland,Water,Water,Water,Water
82,NULL,Wetland,Forest,NULL,Non_Wetland,Water
83,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
84,NULL,Wetland,Forest,Water,Non_Wetland,Water
85,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
86,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
87,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
88,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
89,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
90,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
91,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
92,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
93,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
94,NULL,Bareland,Grassland,Water,Non_Wetland,Water
95,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
96,NULL,Bareland,Cropland,Water,Non_Wetland,Water
97,NULL,Bareland,Wetland,NULL,Wetland,Water
98,NULL,Bareland,Wetland,NULL,Wetland,Forest
99,NULL,Bareland,Wetland,Non_Water,Wetland,Water
100,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
101,NULL,Bareland,Wetland,Water,Wetland,Bareland
102,NULL,Bareland,Wetland,Water,Wetland,Water
103,NULL,Bareland,Wetland,Water,Wetland,Forest
104,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
105,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
106,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
107,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
108,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
109,NULL,Bareland,Bareland,Water,Non_Wetland,Water
110,NULL,Bareland,Water,NULL,Water,Water
111,NULL,Bareland,Water,Non_Water,Water,Grassland
112,NULL,Bareland,Water,Non_Water,Water,Bareland
113,NULL,Bareland,Water,Non_Water,Water,Water
114,NULL,Bareland,Water,Water,Water,Bareland
115,NULL,Bareland,Water,Water,Water,Water
116,NULL,Bareland,Water,Water,Water,Forest
117,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
118,NULL,Bareland,Forest,NULL,Non_Wetland,Water
119,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
120,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
121,NULL,Bareland,Forest,Water,Non_Wetland,Water
122,NULL,Bareland,Forest,Water,Non_Wetland,Forest
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
126,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
127,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
129,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
130,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
132,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
133,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
134,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
135,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
136,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
137,NULL,Built-up,Wetland,NULL,Wetland,Forest
138,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
139,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
142,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
143,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
144,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
147,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
148,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
149,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
150,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
151,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
152,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
153,NULL,Built-up,Forest,NULL,Non_Wetland,Water
154,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
155,NULL,Built-up,Forest,Water,Non_Wetland,Forest
156,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
157,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
158,NULL,Water,Shrubland,NULL,Non_Wetland,Water
159,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
160,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
161,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
162,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
163,NULL,Water,Shrubland,Water,Non_Wetland,Forest
164,NULL,Water,Cropland,NULL,Non_Wetland,Water
165,NULL,Water,Cropland,NULL,Non_Wetland,Forest
166,NULL,Water,Wetland,NULL,Wetland,Water
167,NULL,Water,Wetland,NULL,Wetland,Forest
168,NULL,Water,Wetland,Non_Water,Wetland,Forest
169,NULL,Water,Wetland,Water,Wetland,Water
170,NULL,Water,Wetland,Water,Wetland,Forest
171,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
172,NULL,Water,Bareland,Water,Non_Wetland,Water
173,NULL,Water,Bareland,Water,Non_Wetland,Forest
174,NULL,Water,Water,NULL,Water,Bareland
175,NULL,Water,Water,Non_Water,Water,Grassland
176,NULL,Water,Water,Non_Water,Water,Water
177,NULL,Water,Water,Water,Water,Grassland
178,NULL,Water,Water,Water,Water,Water
179,NULL,Water,Water,Water,Water,Forest
180,NULL,Water,Forest,NULL,Non_Wetland,Grassland
181,NULL,Water,Forest,NULL,Non_Wetland,Bareland
182,NULL,Water,Forest,NULL,Non_Wetland,Water
183,NULL,Water,Forest,NULL,Non_Wetland,Forest
184,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
185,NULL,Water,Forest,Water,Non_Wetland,Water
186,NULL,Water,Forest,Water,Non_Wetland,Forest
187,NULL,Forest,NULL,NULL,Non_Wetland,Forest
188,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
189,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
190,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
191,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
192,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
193,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
194,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
195,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
196,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
197,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
198,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
199,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
200,NULL,Forest,Wetland,Non_Water,Wetland,Forest
201,NULL,Forest,Wetland,Water,Wetland,Water
202,NULL,Forest,Wetland,Water,Wetland,Forest
203,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
204,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
205,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
206,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
207,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
208,NULL,Forest,Water,NULL,Water,Bareland
209,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
210,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
211,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
212,NULL,Forest,Forest,NULL,Non_Wetland,Water
213,NULL,Forest,Forest,NULL,Non_Wetland,Forest
214,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
215,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland
216,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
217,NULL,Forest,Forest,Water,Non_Wetland,Grassland
218,NULL,Forest,Forest,Water,Non_Wetland,Water
219,NULL,Forest,Forest,Water,Non_Wetland,Forest
220,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
221,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
222,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
223,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
224,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
225,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
226,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
227,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
228,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
229,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water
230,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
231,Grassland,NULL,Cropland,Water,Non_Wetland,Water
232,Grassland,NULL,Wetland,NULL,Wetland,Water
233,Grassland,NULL,Wetland,Non_Water,Wetland,Water
234,Grassland,NULL,Wetland,Water,Wetland,Grassland
235,Grassland,NULL,Wetland,Water,Wetland,Water
236,Grassland,NULL,Water,Non_Water,Water,Water
237,Grassland,NULL,Water,Water,Water,Grassland
238,Grassland,NULL,Water,Water,Water,Water
239,Grassland,NULL,Water,Water,Water,Forest
240,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
241,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
242,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
243,Grassland,NULL,Forest,NULL,Non_Wetland,Water
244,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
245,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
246,Grassland,NULL,Forest,Water,Non_Wetland,Water
247,Grassland,NULL,Forest,Water,Non_Wetland,Forest
248,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
249,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
250,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
251,Grassland,Wetland,Water,Water,Water,Grassland
252,Grassland,Bareland,Shrubland,Water,Non_Wetland,Grassland
253,Grassland,Bareland,Cropland,Water,Non_Wetland,Grassland
254,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
255,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
256,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
257,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
258,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
259,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
260,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
261,Grassland,Water,Wetland,Water,Wetland,Grassland
262,Grassland,Water,Water,Water,Water,Water
263,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
264,Grassland,Water,Forest,NULL,Non_Wetland,Forest
265,Grassland,Water,Forest,Water,Non_Wetland,Grassland
266,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
267,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland
268,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
269,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
270,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
271,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
272,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
273,Grassland,Forest,Cropland,Water,Non_Wetland,Water
274,Grassland,Forest,Wetland,Water,Wetland,Grassland
275,Grassland,Forest,Wetland,Water,Wetland,Water
276,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
277,Grassland,Forest,Water,Water,Water,Grassland
278,Grassland,Forest,Water,Water,Water,Water
279,Grassland,Forest,Water,Water,Water,Forest
280,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
281,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland
282,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
283,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
284,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
285,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
286,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
287,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
288,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
289,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
290,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
291,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
292,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
293,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
294,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
295,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
296,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
297,Cropland,NULL,Cropland,Water,Non_Wetland,Water
298,Cropland,NULL,Wetland,NULL,Wetland,Water
