Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Water
16,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
17,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
18,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
19,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
30,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Water
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Water
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,NULL
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Bareland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,NULL
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
