Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NYH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NYH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NYH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
31,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
32,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
33,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
40,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
49,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
50,NULL,NULL,Water,Water,Water,NULL,NULL,Water
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
