Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KRV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Built-up
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
222,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
224,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
226,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
228,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
231,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
232,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
233,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
234,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
236,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
237,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
239,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
240,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
241,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
242,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
