Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Water
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
37,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
38,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Water
39,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
42,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
43,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
44,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
87,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
88,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
91,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
92,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
95,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Built-up
97,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
98,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
