Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
38,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
40,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
42,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
