Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MMN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
175,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
176,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
177,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
178,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
179,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
180,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
