Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Water
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
78,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Forest
79,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
81,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
82,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
