Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KLD_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
79,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
87,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
104,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
114,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
115,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
117,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
118,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
119,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
120,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
121,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
122,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
123,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
124,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
125,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
126,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
127,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
128,NULL,NULL,Water,Water,Water,NULL,NULL,Water
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
141,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
143,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
145,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
147,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
149,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
150,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
151,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
160,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
162,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
163,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
164,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
165,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
166,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
169,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
172,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
174,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
176,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
178,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
181,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
182,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
183,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
184,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
186,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
188,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
189,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
190,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
191,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
193,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
195,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
196,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
198,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
199,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
203,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
205,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
206,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
207,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
208,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
210,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
211,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
212,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
215,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
217,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
218,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
226,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
227,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
230,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
232,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
233,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
235,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
236,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
238,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
239,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
243,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
244,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
245,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
246,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
248,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
249,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Bareland,Water,NULL,Water,NULL,NULL,Built-up
252,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
253,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
255,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
257,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
259,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
262,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
263,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
265,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
266,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
267,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
268,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
269,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
270,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
271,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
272,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
273,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
274,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
275,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
276,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
277,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
279,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
281,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
283,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
285,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
286,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
287,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
288,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
290,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
292,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
293,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
295,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
297,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
298,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
299,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
300,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
302,NULL,Built-up,Water,NULL,Water,NULL,NULL,Cropland
303,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
304,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
307,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
308,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
309,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
311,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
312,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
313,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
315,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
316,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
317,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
318,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
319,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
320,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
321,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
322,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
323,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
324,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
325,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
327,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
328,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
329,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
330,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
331,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
332,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
333,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
334,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
335,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
