Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LYP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
