Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
1,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
14,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
18,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
19,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
20,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
21,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
22,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
23,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Grassland
24,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Bareland
25,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Built-up
26,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Forest
27,NULL,NULL,Water,NULL,Water,Built-up,Built-up,Grassland
28,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
29,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
30,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
31,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Bareland
32,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
33,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
34,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
35,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
36,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Water,Forest
37,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
38,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
39,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
40,NULL,Bareland,Water,NULL,Water,Bareland,Built-up,Grassland
41,NULL,Bareland,Water,NULL,Water,Bareland,Built-up,Bareland
42,NULL,Bareland,Water,Water,Water,Water,Water,Water
43,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
44,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
45,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
46,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
47,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
48,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
49,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
50,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
51,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
52,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
53,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
54,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
55,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
56,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
57,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
58,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Built-up
59,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Forest
60,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Forest
