Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
46,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
47,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
50,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
52,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
53,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
70,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
76,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
77,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
78,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
79,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
80,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
81,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
83,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
84,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
85,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
86,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
87,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
88,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
89,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
90,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
91,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
92,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
93,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
94,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
95,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
96,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
97,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
98,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
99,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
100,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
101,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
102,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
103,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
104,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
105,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
106,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
107,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
108,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
109,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
111,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
112,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
113,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
114,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
115,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
116,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
117,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
119,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Wetland
120,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
121,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
122,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
123,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Wetland
124,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
125,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
126,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
127,NULL,NULL,Water,NULL,Water,Grassland,Forest,Grassland
128,NULL,NULL,Water,NULL,Water,Grassland,Forest,Bareland
129,NULL,NULL,Water,NULL,Water,Grassland,Forest,Forest
130,NULL,NULL,Water,NULL,Water,Wetland,Forest,Grassland
131,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
132,NULL,NULL,Water,NULL,Water,Water,Forest,Grassland
133,NULL,NULL,Water,NULL,Water,Water,Forest,Wetland
134,NULL,NULL,Water,Non_Water,Water,Wetland,Forest,Grassland
135,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
