Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Bareland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
189,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
190,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
191,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
192,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
193,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
194,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
195,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
196,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
197,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
198,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
199,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
200,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
203,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
204,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
205,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
