Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
206,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
209,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
210,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
211,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
214,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
218,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
