Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Water
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Water
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Water
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Built-up
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Water
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Cropland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Cropland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Forest
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Cropland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Water
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
284,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Built-up,NULL,Water
286,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
