Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MQN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
236,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
237,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
238,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
239,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Built-up
240,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
241,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
242,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
243,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
244,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
245,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
284,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
