Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
256,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
257,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
258,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
259,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
260,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Bareland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
