Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NZJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NZJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NZJ_M_R
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
31,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
37,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
40,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
48,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
49,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
50,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
51,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
52,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
53,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
67,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
69,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
75,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
76,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
78,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
81,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
84,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
86,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
89,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
91,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
92,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
93,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
94,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
95,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
96,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
97,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
98,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
103,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
104,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
105,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Built-up
106,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
107,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
114,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
116,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
117,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
124,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
125,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
126,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
127,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
128,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
129,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
130,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
131,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
134,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
135,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
138,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
139,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
141,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
142,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
143,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
144,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
145,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
146,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
147,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
148,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
153,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
155,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
157,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
158,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
159,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
160,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
161,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
162,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
163,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
164,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
165,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
166,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
167,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
168,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
171,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
172,NULL,Water,Water,Water,Water,NULL,NULL,Forest
173,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
178,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
181,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
185,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
187,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
188,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
189,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
190,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
191,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
192,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
193,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
194,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
195,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
197,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
199,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
201,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
204,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
206,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
207,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
208,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
211,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
212,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
213,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
214,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
215,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
216,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
217,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
218,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
219,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
220,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
222,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
223,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
224,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
225,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
226,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
227,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
229,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
230,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
231,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
232,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
233,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
234,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
235,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
236,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
237,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
238,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
239,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
240,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
241,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
242,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
243,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
244,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
245,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
246,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
247,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
248,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
249,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
250,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
251,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
252,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
253,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
254,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
255,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
256,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
257,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
258,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
259,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
260,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
262,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
263,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
264,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
265,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
267,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
268,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
269,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
271,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
272,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
273,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
274,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
275,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
276,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
278,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
279,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
280,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
281,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
282,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
283,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
284,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
286,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
287,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Forest
288,Grassland,Cropland,Water,Water,Water,NULL,NULL,Forest
289,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
290,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
291,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
292,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
294,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
296,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
297,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
298,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
299,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
301,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
302,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
303,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
304,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
305,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
306,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
307,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
308,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
309,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
310,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Forest
311,Grassland,Wetland,Water,Water,Water,NULL,NULL,Forest
312,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
313,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
314,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
315,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
317,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
320,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
321,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
322,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
323,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
324,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
325,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
326,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
327,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
328,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
329,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
330,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
331,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
332,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
333,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
334,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
335,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
336,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
337,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
338,Grassland,Water,Water,Water,Water,NULL,NULL,Water
339,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
340,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
341,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
