Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQV_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
74,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
77,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
78,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
80,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
81,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
83,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
84,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
86,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
158,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
160,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
161,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
162,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
163,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
165,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
166,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
167,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
168,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
169,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
170,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
171,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
172,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
173,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
174,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
177,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
195,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
199,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
209,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
212,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
219,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
227,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
233,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
234,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
235,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
237,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
239,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
242,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
244,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
245,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
246,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
247,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
248,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
249,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Forest
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
262,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
264,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
268,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
273,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
280,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
281,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
285,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
286,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
287,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
288,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
289,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
290,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
291,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
292,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
293,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
294,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
295,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
296,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
297,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
298,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
299,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
300,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
301,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
303,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
304,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
305,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
306,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
308,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
310,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
311,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
312,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
313,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
315,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
316,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
317,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
318,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
319,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
320,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
321,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
322,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
323,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
324,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
325,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
326,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
327,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
328,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
329,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
330,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
