Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LWM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Built-up
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Bareland
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Built-up
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Built-up
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Bareland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Bareland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
309,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
311,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Built-up
312,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
313,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
314,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
315,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
317,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Bareland
318,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
319,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Cropland
320,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Water
321,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Grassland
322,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
323,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
325,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
326,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
327,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
329,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
