Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LNG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LNG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LNG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LNG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LNG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LNG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LNG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LNG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Cropland
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
236,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
237,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Cropland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Cropland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Bareland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Bareland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
