Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KLG_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
72,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
73,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
74,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
79,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
80,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
85,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
86,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
87,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
90,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
91,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
92,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
93,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
94,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
96,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
97,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
98,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
99,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
100,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
101,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
102,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
104,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
111,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
112,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
122,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
124,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
129,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
130,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
133,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
134,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
135,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
137,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
138,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
139,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
140,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
141,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
142,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
143,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
144,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
145,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
146,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
147,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
148,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
149,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
150,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
151,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
152,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
153,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
154,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
155,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
156,NULL,NULL,Water,Water,Water,NULL,NULL,Water
157,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
162,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
163,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
164,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
165,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
167,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
169,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
170,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
172,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
173,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
174,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
176,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
177,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
178,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
179,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
180,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
184,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
188,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
189,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
191,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
192,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
193,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
195,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
196,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
198,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
201,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
202,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
203,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
205,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
206,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
207,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
208,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
210,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
211,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
212,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
213,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
214,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
217,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
218,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
220,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
221,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
222,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
223,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
224,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
226,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
227,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
228,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
230,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
233,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
234,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
235,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
236,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
237,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
238,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
239,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
240,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
241,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
242,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
243,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
244,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
245,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
246,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
247,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
248,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
249,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
250,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
251,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
252,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
256,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
257,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
258,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
259,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
261,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
263,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
265,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
266,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
267,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
268,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
269,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
270,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Cropland
271,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
272,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
273,NULL,Cropland,Water,Water,Water,NULL,NULL,Cropland
274,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
275,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
276,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
277,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
279,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
280,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
281,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
282,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
283,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
285,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
286,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
287,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
288,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
289,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
290,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
291,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
292,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
295,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
297,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
298,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
299,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
300,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
303,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
304,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
307,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
309,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
310,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Cropland
311,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
312,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
313,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
314,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
315,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
316,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
317,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
318,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
319,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
320,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
321,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
324,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
325,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
327,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
328,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
329,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
330,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
331,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
332,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
333,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
334,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
335,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
336,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
337,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
338,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
339,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
340,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
