Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NBE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NBE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
24,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
28,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
31,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
32,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
33,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
34,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
35,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
