Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
24,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
25,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
26,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
27,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
28,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
30,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
31,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
33,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
34,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
35,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
36,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
37,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
38,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
39,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
40,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
41,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
42,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
43,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
45,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
