Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KNV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KNV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KNV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KNV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KNV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KNV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KNV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KNV_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
72,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
73,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
74,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
92,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
93,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
98,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Forest
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
116,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
121,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
123,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
128,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
130,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
132,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
133,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
134,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
135,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
136,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
137,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
138,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
139,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
140,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
141,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
142,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
143,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
144,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
145,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
146,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
147,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
148,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
149,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
150,NULL,NULL,Water,Water,Water,NULL,NULL,Water
151,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
161,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
164,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
165,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
166,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
167,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
168,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
170,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
171,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
173,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
176,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
181,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
182,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
187,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
189,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
190,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
192,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
197,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
205,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
207,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
208,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
209,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
211,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
213,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
214,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
221,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
222,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
223,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
224,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
226,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
227,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
228,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
229,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
230,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
232,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
233,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
234,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
235,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
236,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
237,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
238,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
239,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
240,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
241,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
243,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
244,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
246,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
247,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
249,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
250,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
252,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
253,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
254,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
256,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
257,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
258,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
259,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
260,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
261,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
263,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
265,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
266,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
267,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
268,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
269,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
270,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
271,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
272,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
275,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
278,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
279,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
280,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
281,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
283,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
284,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
286,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
287,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
288,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
289,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
290,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
291,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
292,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
294,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
296,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
298,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
300,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
301,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
303,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
304,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
305,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
306,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
307,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
309,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
310,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
311,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
312,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
313,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
314,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
315,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
316,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
317,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
318,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
319,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
320,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
321,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
322,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
323,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
324,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
326,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
327,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
330,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
331,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
332,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
333,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
334,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
335,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
336,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
