Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
