Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
21,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
22,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
23,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
24,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
25,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
26,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
27,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
35,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
36,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
37,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
38,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
39,NULL,NULL,Water,Water,Water,NULL,NULL,Water
40,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
44,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
48,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
