Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUF_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
57,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
59,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
60,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
62,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
73,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
74,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
75,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
76,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
77,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
78,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
79,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
80,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
81,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
82,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
83,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
84,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
85,NULL,NULL,Water,Water,Water,NULL,NULL,Water
86,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
96,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
97,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
98,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
101,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
111,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
114,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
115,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
118,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
120,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
121,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
126,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
131,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
132,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
133,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
134,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
135,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
136,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
137,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
138,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Wetland,Water,NULL,Water,NULL,NULL,Bareland
141,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
142,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
143,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
144,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
145,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
146,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
150,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
151,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
152,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
154,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
157,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
160,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
162,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
163,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
168,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
173,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
175,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
176,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
177,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
178,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
179,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
181,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
183,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
184,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
185,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
186,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
187,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
190,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
193,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
194,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
195,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
196,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
197,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
210,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
212,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
213,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
216,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
217,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
220,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
226,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
227,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
228,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
229,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
230,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
231,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Wetland
232,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
233,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
234,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
237,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
239,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
240,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
243,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
244,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
245,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
246,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
248,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
249,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
251,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
254,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
255,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
256,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
257,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
259,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
260,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
262,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
263,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
264,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
266,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
267,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
268,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
269,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
271,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
272,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
273,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
276,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
277,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
278,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
279,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
280,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
281,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
282,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
283,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
284,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
286,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
287,NULL,Water,Water,NULL,Water,NULL,NULL,Wetland
288,NULL,Water,Water,NULL,Water,NULL,NULL,Water
289,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
290,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
291,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
292,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
293,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
294,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
295,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
296,NULL,Water,Water,Water,Water,NULL,NULL,Water
297,NULL,Water,Water,Water,Water,NULL,NULL,Forest
298,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
300,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
301,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
302,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
305,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
307,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
308,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
309,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
310,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
312,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
314,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
315,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
316,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
317,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
318,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
319,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
320,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
322,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
323,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
324,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
327,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
329,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
330,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
331,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
332,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
333,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
334,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
335,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
336,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
337,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
338,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
339,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
340,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
341,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
342,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
343,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
344,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
345,NULL,Forest,Water,Water,Water,NULL,NULL,Wetland
346,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
