Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEQ_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
2,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
3,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
4,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
5,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
6,NULL,NULL,Water,NULL,Water,Water,Water,Forest
7,NULL,NULL,Water,Water,Water,Water,Water,Water
8,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
9,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
10,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
11,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
12,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
13,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
14,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
15,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
16,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
17,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
18,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
19,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
20,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
21,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
22,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
23,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
24,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
