Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,Water,Non_Wetland,Water
45,NULL,NULL,Cropland,Water,Non_Wetland,Forest
46,NULL,NULL,Wetland,NULL,Wetland,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,Bareland
48,NULL,NULL,Wetland,NULL,Wetland,Water
49,NULL,NULL,Wetland,NULL,Wetland,Forest
50,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
51,NULL,NULL,Wetland,Water,Wetland,Grassland
52,NULL,NULL,Wetland,Water,Wetland,Bareland
53,NULL,NULL,Wetland,Water,Wetland,Water
54,NULL,NULL,Wetland,Water,Wetland,Forest
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
60,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
61,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
63,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
64,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
65,NULL,NULL,Bareland,Water,Non_Wetland,Water
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
73,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
74,NULL,NULL,Water,NULL,Water,NULL
75,NULL,NULL,Water,NULL,Water,Grassland
76,NULL,NULL,Water,NULL,Water,Cropland
77,NULL,NULL,Water,NULL,Water,Wetland
78,NULL,NULL,Water,NULL,Water,Bareland
79,NULL,NULL,Water,NULL,Water,Built-up
80,NULL,NULL,Water,NULL,Water,Water
81,NULL,NULL,Water,NULL,Water,Forest
82,NULL,NULL,Water,Non_Water,Water,Grassland
83,NULL,NULL,Water,Water,Water,Grassland
84,NULL,NULL,Water,Water,Water,Wetland
85,NULL,NULL,Water,Water,Water,Bareland
86,NULL,NULL,Water,Water,Water,Water
87,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,NULL
88,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
89,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Cropland
90,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
91,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
92,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Forest
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL
94,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
95,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
96,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
97,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
98,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
99,NULL,NULL,Forest,NULL,Non_Wetland,Water
100,NULL,NULL,Forest,NULL,Non_Wetland,Forest
101,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
103,NULL,NULL,Forest,Water,Non_Wetland,Grassland
104,NULL,NULL,Forest,Water,Non_Wetland,Cropland
105,NULL,NULL,Forest,Water,Non_Wetland,Wetland
106,NULL,NULL,Forest,Water,Non_Wetland,Bareland
107,NULL,NULL,Forest,Water,Non_Wetland,Water
108,NULL,NULL,Forest,Water,Non_Wetland,Forest
109,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
119,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
