Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Water
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,NULL
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Water
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
291,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
293,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
296,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
298,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
299,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
300,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
301,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
303,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
304,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
305,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
306,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
309,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Bareland
310,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
311,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
