Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
