Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
6,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
7,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
8,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
9,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
12,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
13,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
14,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
15,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
16,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
17,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
18,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
19,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
21,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
22,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
23,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
24,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
25,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
26,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
27,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
28,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
30,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
31,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
32,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
33,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
34,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
35,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
36,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
37,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
38,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
39,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
40,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
41,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
42,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
43,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
45,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
46,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
47,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
48,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
49,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
50,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
53,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
54,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Wetland
56,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
57,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
58,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
59,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
60,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
61,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
62,NULL,NULL,Water,Water,Water,Water,Water,Grassland
63,NULL,NULL,Water,Water,Water,Water,Water,Wetland
64,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
65,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
67,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
68,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
69,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
70,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
71,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Forest
72,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
73,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
74,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
75,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
76,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
77,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
78,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
79,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
80,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
81,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
82,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Forest
83,NULL,Wetland,Water,NULL,Water,Wetland,Water,Grassland
84,NULL,Wetland,Water,Non_Water,Water,Wetland,Wetland,Wetland
85,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
86,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
87,NULL,Wetland,Water,Water,Water,Wetland,Water,Grassland
88,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
89,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
90,NULL,Wetland,Water,Water,Water,Water,Wetland,Grassland
91,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
92,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
93,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
94,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
95,NULL,Water,Water,Water,Water,Wetland,Water,Water
96,NULL,Water,Water,Water,Water,Water,Water,Grassland
