Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
8,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
54,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
56,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
57,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
58,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
59,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
60,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
61,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
62,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Bareland
63,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
64,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
65,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
66,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
67,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
68,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
69,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
72,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
73,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
74,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
75,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
76,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
77,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
78,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
79,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
80,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Bareland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
93,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
96,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
99,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
103,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
104,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
106,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
107,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
108,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
109,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
111,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
112,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
113,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
114,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Forest
115,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Wetland
116,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
117,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
118,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
119,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
120,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
121,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
123,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
124,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
125,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
126,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
127,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Bareland
128,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
129,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
130,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
131,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Forest
132,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
133,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
134,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
135,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
136,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
137,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
138,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
139,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
140,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
141,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
142,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
143,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
144,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
145,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
146,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
147,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
148,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
149,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
150,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
151,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
152,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
153,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
154,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
155,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
156,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
157,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
158,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
159,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
160,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
161,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
162,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
163,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
164,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
165,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
166,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
167,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
168,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
169,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
170,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
171,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
172,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
173,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
174,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
175,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
176,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
177,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Bareland
178,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
179,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
180,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
181,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
182,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
183,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
184,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
185,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Bareland
186,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
187,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,NULL
188,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
189,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
190,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Bareland
191,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
192,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
193,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
194,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Forest
195,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,NULL
196,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
197,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
198,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
199,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
200,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
201,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
202,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
203,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
204,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Wetland
205,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
207,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
208,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
209,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
210,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
211,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
212,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,NULL
213,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
214,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
215,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
216,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
217,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,NULL
218,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
219,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
220,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
221,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
222,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Wetland
223,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
224,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
225,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Forest
226,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,NULL
227,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
228,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
229,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
230,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
231,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
232,NULL,NULL,Wetland,Water,Wetland,Water,Water,NULL
233,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
234,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
235,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
236,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
237,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
238,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Wetland
239,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
241,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
242,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
243,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
244,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
245,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
246,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
248,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
249,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
250,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
251,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
252,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
253,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
254,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
255,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
256,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
258,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
259,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
260,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
261,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
262,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
263,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
264,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
265,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Bareland
267,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
268,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Bareland
270,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
