Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
257,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
259,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
260,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
261,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
262,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
263,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
264,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
265,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Water
266,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
268,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
269,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
271,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
272,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
273,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
274,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
276,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
278,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Water
279,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
281,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
283,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
284,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
285,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
287,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
288,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
289,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
290,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
291,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
