Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
19,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
20,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
27,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
41,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
