Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KVT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
91,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
124,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
125,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
126,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
130,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
131,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,NULL
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
294,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
295,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
296,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Wetland
297,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Wetland
298,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
299,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
300,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
301,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
302,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,NULL
305,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
306,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
307,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
308,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
310,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
311,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
312,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
313,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
315,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
316,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
318,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Wetland
