Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KHA_M_R
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
43,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
59,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
67,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
69,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
71,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
72,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
73,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
74,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
85,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
86,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
90,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
91,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
92,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
96,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
97,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
98,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
99,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
103,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
104,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
105,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
106,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Cropland
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
112,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
114,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
115,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
120,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
121,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
122,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
123,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
124,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
126,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
127,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
128,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
129,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
130,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
131,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
133,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
136,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
138,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
140,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
141,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
142,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
145,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
147,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
148,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
149,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
150,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
151,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
152,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
153,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
154,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
155,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
156,NULL,NULL,Water,Water,Water,NULL,NULL,Water
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
161,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
164,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
166,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
168,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
169,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
170,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
171,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
172,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
173,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
175,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
176,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
177,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
178,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
180,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
183,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
185,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
187,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
188,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
191,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
193,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
195,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
196,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
198,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
199,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
200,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
201,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
202,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
203,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
204,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
205,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
206,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
207,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
208,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
210,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
212,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
213,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
215,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
216,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
218,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
219,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
220,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
221,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
223,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
224,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
225,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
227,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
228,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
229,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
230,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
231,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
232,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
233,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
234,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
236,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
240,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
241,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
242,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
243,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
244,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
246,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
247,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
248,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
249,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,NULL
250,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
252,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
253,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
254,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
255,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
256,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
258,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
259,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
261,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
262,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
263,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
265,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
266,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
267,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
268,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
269,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
270,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
272,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
274,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
277,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
278,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
279,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
280,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
281,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
282,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
283,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
284,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
287,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
288,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
289,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
290,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
291,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
292,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
293,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
294,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
295,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
296,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
297,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
298,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
299,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
300,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
302,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
303,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
304,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
305,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
306,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
308,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
309,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
310,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
313,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
314,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
315,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
316,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
317,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
318,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
320,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
321,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
322,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
323,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
324,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
325,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
326,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
327,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
328,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
329,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
330,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
331,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
332,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
333,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
