Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Water
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Water
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Water
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
264,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
265,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
266,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
268,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
270,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
271,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
272,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
274,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
275,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
278,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
279,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
282,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
283,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
286,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Water
288,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Water
290,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
291,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
293,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
294,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
296,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
297,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
298,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
300,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
301,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
