Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFH_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
57,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
59,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
60,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
62,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
79,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
82,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
83,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
84,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
85,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
86,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
87,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
88,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
89,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
90,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
91,NULL,NULL,Water,Water,Water,NULL,NULL,Water
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
95,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
102,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
106,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
107,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
115,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
118,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
129,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
132,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
133,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
139,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
144,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
145,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
146,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
148,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
149,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
155,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
157,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
159,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
160,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
161,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
162,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
164,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
165,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
167,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
169,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
171,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
175,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
176,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
177,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
178,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
179,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
180,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
181,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
183,NULL,Water,Water,Water,Water,NULL,NULL,Water
184,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
186,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
188,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
190,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
191,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
194,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
196,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
198,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
199,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
203,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
204,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
205,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
206,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
207,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
208,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
209,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
211,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
212,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
213,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
215,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
216,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
217,NULL,Forest,Water,Water,Water,NULL,NULL,Water
218,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
221,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Wetland
226,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
227,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
228,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
229,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
230,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
231,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
232,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
233,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
234,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
235,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
236,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
237,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
238,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
239,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
241,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
242,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
243,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
244,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
245,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
246,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
247,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
248,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
249,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
250,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
251,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
252,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
253,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
254,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
255,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
256,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
257,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
258,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
259,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
260,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
261,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
262,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
263,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
265,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
266,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
267,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
268,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
269,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
270,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
271,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
272,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
273,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
274,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
275,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
276,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
277,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
278,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
279,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
280,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
281,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
282,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
284,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
285,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
287,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
288,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
289,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
290,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
291,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
292,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
293,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
294,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
295,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
296,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
297,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
298,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
299,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
300,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
301,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
302,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
303,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
304,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
305,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
306,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
307,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
308,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
309,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
310,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
311,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
312,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
313,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
314,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
315,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
316,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
317,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
319,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
320,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
321,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
322,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
324,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
325,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
326,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
327,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
328,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
329,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
330,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
331,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
333,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
334,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
335,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
336,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
337,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
338,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
339,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
340,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
