Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
5,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
