Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
59,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
60,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
62,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
63,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
