Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Built-up
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
276,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Built-up
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
284,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
285,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
291,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,NULL
292,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
294,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
296,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
298,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
299,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
300,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,NULL
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
307,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
308,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
309,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
311,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,NULL
312,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Wetland
314,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
315,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
316,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
317,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
318,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
319,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
320,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
321,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,NULL
322,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Bareland
324,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Forest
325,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Wetland
326,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,NULL
327,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Cropland
329,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
330,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
