Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZB_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
32,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
33,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
34,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
35,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
36,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
40,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
42,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
44,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
45,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
46,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
47,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
48,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
49,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
50,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
55,NULL,NULL,Water,Non_Water,Water,Water,Water,Bareland
56,NULL,NULL,Water,Water,Water,Water,Water,Bareland
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
60,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
68,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
69,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
