Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NBD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
1,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
19,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
21,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
25,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
26,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
27,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
28,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
29,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
30,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
31,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
32,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
33,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
34,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
38,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
39,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
40,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
41,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
42,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
50,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
56,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
61,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
