Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MXA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MXA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MXA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Wetland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Built-up
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Built-up
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Cropland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Wetland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Built-up,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
257,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
259,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Wetland
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
264,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
266,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
268,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Wetland
271,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Bareland
272,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
274,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
276,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
277,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Wetland
279,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Wetland
283,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
284,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Built-up
286,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Bareland
287,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Wetland
289,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Bareland
290,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
292,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
293,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,Forest,Water,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
