Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
45,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
46,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,NULL
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Bareland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Forest
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,NULL
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
223,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
225,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
226,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
227,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
228,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
229,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
230,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
232,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
233,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
234,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
237,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Bareland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
241,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Bareland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Forest
245,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
250,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
