Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTC_M_R
51,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
53,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
54,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
58,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
59,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
60,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
61,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
62,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
63,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
64,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
65,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
66,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
67,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
68,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
69,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
81,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
87,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
96,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
97,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
98,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
99,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
109,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
110,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
117,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
118,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
122,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
123,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
124,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
131,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
132,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
135,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
138,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
140,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
141,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
144,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
145,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
146,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
148,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
152,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
153,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
154,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
155,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
156,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
157,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
158,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
159,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
160,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
161,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
162,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
163,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
164,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
165,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
166,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
167,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
168,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
169,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
170,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
171,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
172,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
173,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
174,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
175,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
176,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
177,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
178,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
179,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
180,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
181,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
182,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
183,Grassland,NULL,Water,Water,Water,NULL,NULL,NULL
184,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
185,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
186,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
187,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
188,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
189,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
190,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
191,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
192,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
193,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
194,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
196,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
197,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
199,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
200,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
201,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
202,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
204,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
205,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
206,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
208,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
209,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
211,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
212,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
213,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
214,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
215,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
216,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
218,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
219,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
220,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
221,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
222,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
223,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
224,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
225,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
226,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
227,Cropland,NULL,Water,NULL,Water,NULL,NULL,Wetland
228,Cropland,NULL,Water,Water,Water,NULL,NULL,Wetland
229,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
230,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
231,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
232,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
233,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
234,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
235,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
236,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
237,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
238,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
239,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
240,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
241,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
242,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
243,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
244,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
245,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
246,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
248,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
249,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
250,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
251,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
252,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
254,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
255,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
256,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
257,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
258,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
259,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
260,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
261,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
262,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
263,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
264,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
265,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
266,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
267,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
268,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
269,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
270,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
271,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
272,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
273,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
274,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
275,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
276,Wetland,NULL,Water,NULL,Water,NULL,NULL,Bareland
277,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
278,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
279,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
280,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
281,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
282,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
283,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
284,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
285,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
286,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
287,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
288,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
289,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
290,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
291,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
292,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
293,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
294,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
295,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
296,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
297,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
298,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
299,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
300,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
301,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
302,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
303,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
304,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
305,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
306,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
307,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
308,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
309,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
310,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
311,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
312,Wetland,Water,Water,NULL,Water,NULL,NULL,Bareland
313,Wetland,Water,Water,Water,Water,NULL,NULL,Water
314,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
315,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
316,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
317,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
318,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
319,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
320,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
321,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
322,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
323,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
324,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
326,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
327,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
328,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
329,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
330,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
331,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
333,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
334,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
335,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
336,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
337,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
338,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
339,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
