Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUB_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
10,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,Water,Non_Wetland,Water
12,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,Water,Non_Wetland,Water
18,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
22,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
26,NULL,NULL,Wetland,NULL,Wetland,NULL
27,NULL,NULL,Wetland,NULL,Wetland,Grassland
28,NULL,NULL,Wetland,NULL,Wetland,Wetland
29,NULL,NULL,Wetland,NULL,Wetland,Forest
30,NULL,NULL,Wetland,Non_Water,Wetland,NULL
31,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
32,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
33,NULL,NULL,Wetland,Non_Water,Wetland,Water
34,NULL,NULL,Wetland,Water,Wetland,Grassland
35,NULL,NULL,Wetland,Water,Wetland,Wetland
36,NULL,NULL,Wetland,Water,Wetland,Water
37,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Bareland,Water,Non_Wetland,Water
42,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
43,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
44,NULL,NULL,Water,NULL,Water,Grassland
45,NULL,NULL,Water,NULL,Water,Water
46,NULL,NULL,Water,Non_Water,Water,Grassland
47,NULL,NULL,Water,Non_Water,Water,Bareland
48,NULL,NULL,Water,Non_Water,Water,Water
49,NULL,NULL,Water,Water,Water,Grassland
50,NULL,NULL,Water,Water,Water,Wetland
51,NULL,NULL,Water,Water,Water,Bareland
52,NULL,NULL,Water,Water,Water,Water
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
55,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
56,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
57,NULL,NULL,Forest,NULL,Non_Wetland,Forest
58,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Forest,Water,Non_Wetland,Grassland
62,NULL,NULL,Forest,Water,Non_Wetland,Wetland
63,NULL,NULL,Forest,Water,Non_Wetland,Water
64,NULL,NULL,Forest,Water,Non_Wetland,Forest
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
66,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
67,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
68,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
69,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
70,NULL,Wetland,Wetland,NULL,Wetland,Wetland
71,NULL,Wetland,Wetland,NULL,Wetland,Water
72,NULL,Wetland,Wetland,NULL,Wetland,Forest
73,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
74,NULL,Wetland,Wetland,Non_Water,Wetland,Water
75,NULL,Wetland,Wetland,Water,Wetland,Water
76,NULL,Wetland,Wetland,Water,Wetland,Forest
77,NULL,Wetland,Water,NULL,Water,Wetland
78,NULL,Wetland,Water,Non_Water,Water,Water
79,NULL,Wetland,Water,Water,Water,Grassland
80,NULL,Wetland,Water,Water,Water,Wetland
81,NULL,Wetland,Water,Water,Water,Water
82,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
83,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
84,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
85,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
86,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
87,NULL,Wetland,Forest,Water,Non_Wetland,Water
88,NULL,Wetland,Forest,Water,Non_Wetland,Forest
89,NULL,Bareland,NULL,Water,Non_Wetland,Water
90,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
91,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
92,NULL,Bareland,Grassland,Water,Non_Wetland,Water
93,NULL,Bareland,Wetland,NULL,Wetland,Water
94,NULL,Bareland,Wetland,Non_Water,Wetland,Water
95,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
96,NULL,Bareland,Wetland,Water,Wetland,Grassland
97,NULL,Bareland,Wetland,Water,Wetland,Water
98,NULL,Bareland,Bareland,Water,Non_Wetland,Water
99,NULL,Bareland,Water,NULL,Water,Water
100,NULL,Bareland,Water,Non_Water,Water,Water
101,NULL,Bareland,Water,Water,Water,Bareland
102,NULL,Bareland,Water,Water,Water,Water
103,NULL,Bareland,Forest,NULL,Non_Wetland,Water
104,NULL,Bareland,Forest,Water,Non_Wetland,Water
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
110,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
111,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
112,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
113,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
114,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
115,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
116,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
117,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
118,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
119,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
121,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
122,NULL,Built-up,Grassland,Water,Non_Wetland,Water
123,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
124,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
125,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
126,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
127,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
128,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
129,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
130,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
131,NULL,Built-up,Wetland,NULL,Wetland,Grassland
132,NULL,Built-up,Wetland,NULL,Wetland,Water
133,NULL,Built-up,Wetland,NULL,Wetland,Forest
134,NULL,Built-up,Wetland,Non_Water,Wetland,Water
135,NULL,Built-up,Wetland,Water,Wetland,Water
136,NULL,Built-up,Wetland,Water,Wetland,Forest
137,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
138,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
139,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
140,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
141,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
142,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
143,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
144,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
146,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
147,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
148,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
149,NULL,Built-up,Water,NULL,Water,Built-up
150,NULL,Built-up,Water,NULL,Water,Water
151,NULL,Built-up,Water,NULL,Water,Forest
152,NULL,Built-up,Water,Non_Water,Water,Grassland
153,NULL,Built-up,Water,Water,Water,Water
154,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
156,NULL,Built-up,Forest,NULL,Non_Wetland,Water
157,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
158,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
159,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
160,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
161,NULL,Built-up,Forest,Water,Non_Wetland,Water
162,NULL,Built-up,Forest,Water,Non_Wetland,Forest
163,NULL,Water,NULL,NULL,Non_Wetland,Water
164,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
165,NULL,Water,Shrubland,NULL,Non_Wetland,Water
166,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
167,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
168,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
169,NULL,Water,Shrubland,Water,Non_Wetland,Water
170,NULL,Water,Shrubland,Water,Non_Wetland,Forest
171,NULL,Water,Grassland,Water,Non_Wetland,Water
172,NULL,Water,Wetland,NULL,Wetland,Wetland
173,NULL,Water,Wetland,NULL,Wetland,Water
174,NULL,Water,Wetland,NULL,Wetland,Forest
175,NULL,Water,Wetland,Non_Water,Wetland,Grassland
176,NULL,Water,Wetland,Non_Water,Wetland,Water
177,NULL,Water,Wetland,Non_Water,Wetland,Forest
178,NULL,Water,Wetland,Water,Wetland,Water
179,NULL,Water,Wetland,Water,Wetland,Forest
180,NULL,Water,Water,NULL,Water,Water
181,NULL,Water,Water,Non_Water,Water,Water
182,NULL,Water,Water,Non_Water,Water,Forest
183,NULL,Water,Water,Water,Water,Grassland
184,NULL,Water,Water,Water,Water,Wetland
185,NULL,Water,Water,Water,Water,Water
186,NULL,Water,Water,Water,Water,Forest
187,NULL,Water,Forest,NULL,Non_Wetland,Grassland
188,NULL,Water,Forest,NULL,Non_Wetland,Wetland
189,NULL,Water,Forest,NULL,Non_Wetland,Water
190,NULL,Water,Forest,NULL,Non_Wetland,Forest
191,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
192,NULL,Water,Forest,Non_Water,Non_Wetland,Water
193,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
194,NULL,Water,Forest,Water,Non_Wetland,Water
195,NULL,Water,Forest,Water,Non_Wetland,Forest
196,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
197,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
198,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
199,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
200,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
201,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
202,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
203,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
